iter	Passed	Remaining
373	4125	6904
374	4133	6889
375	4142	6874
376	4150	6859
377	4163	6850
378	4171	6834
379	4179	6819
380	4188	6805
381	4196	6789
382	4205	6774
383	4213	6759
384	4223	6747
385	4232	6732
386	4240	6717
387	4250	6704
388	4261	6694
389	4271	6680
390	4279	6665
391	4287	6650
392	4297	6638
393	4306	6623
394	4314	6608
395	4322	6592
396	4330	6577
397	4340	6565
398	4348	6550
399	4357	6536
400	4366	6522
401	4375	6508
402	4383	6494
403	4392	6479
404	4400	6465
405	4409	6451
406	4419	6438
407	4427	6424
408	4435	6409
409	4444	6395
410	4453	6382
411	4463	6369
412	4474	6358
413	4482	6345
414	4492	6332
415	4501	6319
416	4510	6306
417	4518	6291
418	4527	6277
419	4536	6264
420	4545	6251
421	4554	6237
422	4562	6224
423	4571	6210
424	4579	6196
425	4588	6182
426	4596	6168
427	4605	6155
428	4615	6142
429	4624	6130
430	4634	6117
431	4643	6105
432	4652	6092
433	4662	6080
434	4675	6072
435	4685	6061
436	4694	6047
437	4702	6034
438	4712	6022
439	4721	6009
440	4731	5996
441	4739	5983
442	4747	5969
443	4756	5955
444	4764	5942
445	4772	5928
446	4781	5915
447	4789	5901
448	4797	5887
449	4807	5875
450	4815	5862
451	4823	5848
452	4832	5834
453	4840	5821
454	4849	5808
455	4857	5794
456	4870	5787
457	4879	5774
458	4888	5761
459	4896	5748
460	4905	5735
461	4913	5722
462	4921	5708
463	4930	5695
464	4939	5683
465	4948	5670
466	4956	5656
467	4965	5644
468	4973	5630
469	4981	5617
470	4989	5604
471	4998	5591
472	5007	5579
473	5015	5566
474	5024	5553
475	5033	5540
476	5042	5528
477	5050	5515
478	5059	5502
479	5067	5489
480	5077	5478
481	5089	5469
482	5098	5457
483	5108	5446
484	5117	5433
485	5125	5420
486	5133	5408
487	5141	5394
488	5150	5381
489	5157	5368
490	5166	5355
491	5174	5342
492	5182	5329
493	5189	5315
494	5198	5303
495	5207	5291
496	5215	5278
497	5224	5265
498	5231	5252
499	5240	5240
500	5248	5227
501	5257	5215
502	5265	5202
503	5274	5190
504	5282	5178
505	5292	5167
506	5304	5158
507	5313	5146
508	5322	5134
509	5331	5122
510	5341	5111
511	5352	5101
512	5360	5088
513	5368	5076
514	5376	5063
515	5385	5051
516	5393	5039
517	5402	5026
518	5410	5014
519	5418	5001
520	5427	4990
521	5436	4977
522	5444	4965
523	5452	4952
524	5460	4940
525	5468	4927
526	5477	4916
527	5486	4904
528	5496	4894
529	5507	4884
530	5517	4873
531	5527	4862
532	5537	4852
533	5546	4840
534	5555	4828
535	5563	4816
536	5571	4803
537	5579	4791
538	5587	4779
539	5596	4767
540	5606	4756
541	5615	4745
542	5624	4733
543	5633	4722
544	5642	4710
545	5651	4699
546	5659	4687
547	5668	4675
548	5677	4663
549	5685	4651
550	5695	4641
551	5707	4632
552	5716	4620
553	5727	4610
554	5736	4599
555	5745	4587
556	5753	4575
557	5761	4563
558	5770	4552
559	5778	4540
560	5787	4528
561	5796	4517
562	5805	4505
563	5813	4494
564	5821	4481
565	5829	4469
566	5837	4457
567	5845	4445
568	5854	4434
569	5862	4422
570	5871	4411
571	5879	4399
572	5887	4387
573	5897	4376
574	5908	4366
575	5918	4356
576	5926	4344
577	5934	4332
578	5943	4321
579	5951	4309
580	5959	4297
581	5967	4286
582	5975	4274
583	5984	4262
584	5992	4251
585	6000	4239
586	6010	4228
587	6019	4217
588	6028	4206
589	6039	4196
590	6047	4185
591	6055	4173
592	6064	4162
593	6072	4150
594	6081	4139
595	6089	4127
596	6099	4117
597	6110	4108
598	6121	4098
599	6131	4087
600	6140	4076
601	6148	4065
602	6156	4053
603	6164	4041
604	6174	4030
605	6182	4019
606	6191	4008
607	6199	3996
608	6208	3985
609	6216	3974
610	6224	3963
611	6233	3951
612	6241	3940
613	6250	3929
614	6259	3918
615	6267	3906
616	6275	3895
617	6283	3883
618	6291	3872
619	6299	3861
620	6309	3850
621	6320	3841
622	6331	3831
623	6340	3820
624	6348	3809
625	6357	3798
626	6365	3787
627	6374	3775
628	6382	3764
629	6392	3754
630	6399	3742
631	6408	3731
632	6417	3720
633	6426	3709
634	6434	3698
635	6442	3687
636	6450	3675
637	6458	3664
638	6466	3653
639	6474	3641
640	6481	3630
641	6489	3618
642	6498	3607
643	6506	3597
644	6516	3586
645	6523	3574
646	6533	3564
647	6543	3554
648	6551	3543
649	6560	3532
650	6568	3521
651	6576	3510
652	6585	3499
653	6595	3489
654	6605	3479
655	6614	3468
656	6623	3457
657	6631	3446
658	6639	3435
659	6648	3424
660	6657	3414
661	6665	3403
662	6673	3392
663	6681	3381
664	6690	3370
665	6698	3359
666	6707	3348
667	6716	3337
668	6725	3327
669	6733	3316
670	6743	3306
671	6755	3297
672	6763	3286
673	6772	3275
674	6781	3264
675	6789	3254
676	6797	3243
677	6806	3232
678	6815	3222
679	6824	3211
680	6832	3200
681	6841	3190
682	6850	3179
683	6859	3169
684	6869	3158
685	6876	3147
686	6886	3137
687	6896	3127
688	6904	3116
689	6913	3106
690	6921	3095
691	6930	3084
692	6938	3073
693	6947	3063
694	6959	3053
695	6968	3043
696	6977	3033
697	6985	3022
698	6994	3011
699	7002	3001
700	7011	2990
701	7021	2980
702	7029	2969
703	7037	2959
704	7045	2948
705	7053	2937
706	7062	2926
707	7070	2915
708	7078	2905
709	7087	2894
710	7095	2884
711	7104	2873
712	7112	2863
713	7121	2852
714	7130	2842
715	7142	2832
716	7151	2822
717	7160	2812
718	7170	2802
719	7179	2791
720	7189	2782
721	7199	2772
722	7210	2762
723	7219	2752
724	7228	2741
725	7238	2731
726	7247	2721
727	7257	2711
728	7265	2701
729	7275	2690
730	7283	2680
731	7292	2669
732	7300	2659
733	7309	2648
734	7318	2638
735	7326	2627
736	7335	2617
737	7343	2606
738	7353	2597
739	7363	2587
740	7371	2576
741	7380	2566
742	7388	2555
743	7397	2545
744	7405	2534
745	7414	2524
746	7423	2514
747	7431	2503
748	7439	2493
749	7447	2482
750	7456	2472
751	7464	2461
752	7473	2451
753	7481	2440
754	7489	2430
755	7498	2420
756	7507	2409
757	7515	2399
758	7524	2389
759	7532	2378
760	7540	2368
761	7550	2358
762	7560	2348
763	7572	2339
764	7584	2329
765	7593	2319
766	7602	2309
767	7611	2299
768	7620	2289
769	7628	2278
770	7637	2268
771	7646	2258
772	7654	2247
773	7662	2237
774	7671	2227
775	7680	2217
776	7688	2206
777	7696	2196
778	7705	2186
779	7714	2175
780	7722	2165
781	7730	2155
782	7739	2144
783	7747	2134
784	7756	2124
785	7764	2114
786	7773	2103
787	7784	2094
788	7794	2084
789	7802	2074
790	7811	2064
791	7819	2053
792	7827	2043
793	7836	2033
794	7844	2022
795	7852	2012
796	7861	2002
797	7870	1992
798	7878	1982
799	7886	1971
800	7894	1961
801	7903	1951
802	7912	1941
803	7920	1930
804	7928	1920
805	7936	1910
806	7944	1900
807	7953	1889
808	7961	1879
809	7970	1869
810	7978	1859
811	7987	1849
812	7999	1839
813	8009	1830
814	8018	1820
815	8026	1809
816	8034	1799
817	8042	1789
818	8050	1779
819	8059	1769
820	8068	1759
821	8077	1749
822	8086	1739
823	8094	1728
824	8102	1718
825	8110	1708
826	8120	1698
827	8128	1688
828	8138	1678
829	8147	1668
830	8155	1658
831	8164	1648
832	8172	1638
833	8180	1628
834	8189	1618
835	8197	1608
836	8207	1598
837	8219	1588
838	8227	1578
839	8236	1568
840	8246	1559
841	8259	1549
842	8272	1540
843	8282	1530
844	8293	1521
845	8304	1511
846	8316	1502
847	8327	1492
848	8336	1482
849	8348	1473
850	8360	1463
851	8371	1454
852	8382	1444
853	8392	1434
854	8402	1424
855	8411	1415
856	8423	1405
857	8435	1396
858	8445	1386
859	8455	1376
860	8464	1366
861	8475	1356
862	8484	1346
863	8494	1337
864	8503	1327
865	8512	1317
866	8522	1307
867	8533	1297
868	8543	1287
869	8553	1278
870	8564	1268
871	8573	1258
872	8583	1248
873	8592	1238
874	8600	1228
875	8610	1218
876	8619	1208
877	8630	1199
878	8641	1189
879	8650	1179
880	8659	1169
881	8668	1159
882	8676	1149
883	8685	1139
884	8693	1129
885	8701	1119
886	8709	1109
887	8719	1099
888	8727	1089
889	8736	1079
890	8745	1069
891	8754	1059
892	8763	1050
893	8771	1040
894	8780	1030
895	8788	1020
896	8795	1009
897	8802	999
898	8811	989
899	8820	980
900	8830	970
901	8842	960
902	8851	950
903	8861	941
904	8870	931
905	8878	921
906	8886	911
907	8894	901
908	8902	891
909	8910	881
910	8918	871
911	8927	861
912	8937	851
913	8945	841
914	8953	831
915	8961	821
916	8970	811
917	8978	801
918	8986	792
919	8994	782
920	9003	772
921	9012	762
922	9020	752
923	9028	742
924	9039	732
925	9050	723
926	9060	713
927	9068	703
928	9076	693
929	9084	683
930	9093	673
931	9101	664
932	9110	654
933	9119	644
934	9128	634
935	9136	624
936	9144	614
937	9152	604
938	9160	595
939	9169	585
940	9176	575
941	9184	565
942	9192	555
943	9200	545
944	9209	536
945	9218	526
946	9226	516
947	9238	506
948	9247	496
949	9256	487
950	9266	477
951	9274	467
952	9282	457
953	9291	448
954	9299	438
955	9310	428
956	9319	418
957	9329	408
958	9339	399
959	9348	389
960	9358	379
961	9367	370
962	9376	360
963	9385	350
964	9396	340
965	9405	331
966	9414	321
967	9422	311
968	9444	302
969	9454	292
970	9462	282
971	9470	272
972	9478	263
973	9486	253
974	9494	243
975	9502	233
976	9511	223
977	9520	214
978	9530	204
979	9538	194
980	9547	184
981	9555	175
982	9564	165
983	9572	155
984	9580	145
985	9588	136
986	9596	126
987	9605	116
988	9612	106
989	9621	97
990	9630	87
991	9639	77
992	9649	68
993	9659	58
994	9666	48
995	9675	38
996	9682	29
997	9691	19
998	9700	9
999	9707	0
